userid,user,pageid,revid,parentid,ns,title,timestamp,comment,texthidden
39197131,Yapperbot,72732798,1133554958,1133517990,0,Joe Biden classified documents incident,2023-01-14T11:00:29Z,"Auto-removing {{current}} - no edits in 5hrs+. The event may still be current, but [[Template:Current|the {{current}} template is designed only for articles which many editors are editing, and is usually up for less than a day]].",NA
39197131,Yapperbot,72697719,1133534152,1133497191,0,2023 Brazilian Congress attack,2023-01-14T08:00:44Z,"Auto-removing {{current}} - no edits in 5hrs+. The event may still be current, but [[Template:Current|the {{current}} template is designed only for articles which many editors are editing, and is usually up for less than a day]].",NA
39197131,Yapperbot,72742908,1133507116,1133456925,0,2023 State of the Union Address,2023-01-14T04:00:30Z,"Auto-removing {{current}} - no edits in 5hrs+. The event may still be current, but [[Template:Current|the {{current}} template is designed only for articles which many editors are editing, and is usually up for less than a day]].",NA
39197131,Yapperbot,22717800,1133481777,1133426235,0,Karnatak College Dharwar,2023-01-14T01:00:29Z,"Auto-removing {{current}} - no edits in 5hrs+. The event may still be current, but [[Template:Current|the {{current}} template is designed only for articles which many editors are editing, and is usually up for less than a day]].",NA
39197131,Yapperbot,72733247,1133357545,1133318261,0,"Tornado outbreak of January 12, 2023",2023-01-13T11:00:14Z,"Auto-removing {{current}} - no edits in 5hrs+. The event may still be current, but [[Template:Current|the {{current}} template is designed only for articles which many editors are editing, and is usually up for less than a day]].",NA
39197131,Yapperbot,26091326,1133342631,1133301347,0,Justin Roiland,2023-01-13T09:00:29Z,"Auto-removing {{current}} - no edits in 5hrs+. The event may still be current, but [[Template:Current|the {{current}} template is designed only for articles which many editors are editing, and is usually up for less than a day]].",NA
39197131,Yapperbot,72658888,1133112381,1133062903,0,2022–2023 California floods,2023-01-12T09:00:14Z,"Auto-removing {{current}} - no edits in 5hrs+. The event may still be current, but [[Template:Current|the {{current}} template is designed only for articles which many editors are editing, and is usually up for less than a day]].",NA
39197131,Yapperbot,71456406,1133031974,1132990966,0,Battle of Soledar,2023-01-12T00:00:44Z,"Auto-removing {{current}} - no edits in 5hrs+. The event may still be current, but [[Template:Current|the {{current}} template is designed only for articles which many editors are editing, and is usually up for less than a day]].",NA
39197131,Yapperbot,72721234,1133024126,1132979977,0,2023 Oksibil attacks,2023-01-11T23:00:30Z,"Auto-removing {{current}} - no edits in 5hrs+. The event may still be current, but [[Template:Current|the {{current}} template is designed only for articles which many editors are editing, and is usually up for less than a day]].",NA
39197131,Yapperbot,72166494,1132702141,1132649992,0,2022–2023 Brazilian election protests,2023-01-10T04:00:29Z,"Auto-removing {{current}} - no edits in 5hrs+. The event may still be current, but [[Template:Current|the {{current}} template is designed only for articles which many editors are editing, and is usually up for less than a day]].",NA
39197131,Yapperbot,70210872,1132075382,1132026665,0,Keith Self,2023-01-07T04:00:29Z,"Auto-removing {{current}} - no edits in 5hrs+. The event may still be current, but [[Template:Current|the {{current}} template is designed only for articles which many editors are editing, and is usually up for less than a day]].",NA
39197131,Yapperbot,72660826,1131615047,1131565950,0,2023 Delhi hit-and-run case,2023-01-05T00:00:40Z,"Auto-removing {{current}} - no edits in 5hrs+. The event may still be current, but [[Template:Current|the {{current}} template is designed only for articles which many editors are editing, and is usually up for less than a day]].",NA
39197131,Yapperbot,72644577,1131576424,1131527103,0,2023 Rajouri attacks,2023-01-04T20:00:25Z,"Auto-removing {{current}} - no edits in 5hrs+. The event may still be current, but [[Template:Current|the {{current}} template is designed only for articles which many editors are editing, and is usually up for less than a day]].",NA
39197131,Yapperbot,72658412,1131508911,1131458703,0,Chulakivka military quarters shelling,2023-01-04T13:00:40Z,"Auto-removing {{current}} - no edits in 5hrs+. The event may still be current, but [[Template:Current|the {{current}} template is designed only for articles which many editors are editing, and is usually up for less than a day]].",NA
39197131,Yapperbot,72642421,1131440193,1131391841,0,Makiivka military quarters shelling,2023-01-04T05:00:25Z,"Auto-removing {{current}} - no edits in 5hrs+. The event may still be current, but [[Template:Current|the {{current}} template is designed only for articles which many editors are editing, and is usually up for less than a day]].",NA
39197131,Yapperbot,72620306,1131281039,1131242507,0,Death and funeral of Pope Benedict XVI,2023-01-03T12:00:41Z,"Auto-removing {{current}} - no edits in 5hrs+. The event may still be current, but [[Template:Current|the {{current}} template is designed only for articles which many editors are editing, and is usually up for less than a day]].",NA
39197131,Yapperbot,72645607,1131197585,1131138475,0,New County Hotel fire,2023-01-03T01:00:26Z,"Auto-removing {{current}} - no edits in 5hrs+. The event may still be current, but [[Template:Current|the {{current}} template is designed only for articles which many editors are editing, and is usually up for less than a day]].",NA
39197131,Yapperbot,72635317,1131044375,1131006445,0,2023 Philippine airspace closure,2023-01-02T08:00:26Z,"Auto-removing {{current}} - no edits in 5hrs+. The event may still be current, but [[Template:Current|the {{current}} template is designed only for articles which many editors are editing, and is usually up for less than a day]].",NA
39197131,Yapperbot,72603134,1130882652,1130845229,0,2022 Southwest Airlines scheduling crisis,2023-01-01T13:00:25Z,"Auto-removing {{current}} - no edits in 5hrs+. The event may still be current, but [[Template:Current|the {{current}} template is designed only for articles which many editors are editing, and is usually up for less than a day]].",NA
39197131,Yapperbot,72603134,1130680305,1130645193,0,2022 Southwest Airlines scheduling crisis,2022-12-31T12:00:40Z,"Auto-removing {{current}} - no edits in 5hrs+. The event may still be current, but [[Template:Current|the {{current}} template is designed only for articles which many editors are editing, and is usually up for less than a day]].",NA
39197131,Yapperbot,72551432,1130673845,1130640433,0,December 2022 North American winter storm,2022-12-31T11:00:25Z,"Auto-removing {{current}} - no edits in 5hrs+. The event may still be current, but [[Template:Current|the {{current}} template is designed only for articles which many editors are editing, and is usually up for less than a day]].",NA
39197131,Yapperbot,60417423,1130661508,1130623924,0,Tax returns of Donald Trump,2022-12-31T09:00:25Z,"Auto-removing {{current}} - no edits in 5hrs+. The event may still be current, but [[Template:Current|the {{current}} template is designed only for articles which many editors are editing, and is usually up for less than a day]].",NA
39197131,Yapperbot,72545811,1130558880,1130514436,0,Thirty-seventh government of Israel,2022-12-30T20:00:25Z,"Auto-removing {{current}} - no edits in 5hrs+. The event may still be current, but [[Template:Current|the {{current}} template is designed only for articles which many editors are editing, and is usually up for less than a day]].",NA
39197131,Yapperbot,72603246,1130478774,1130436119,0,Second Gyeongin Expressway tunnel fire,2022-12-30T10:00:25Z,"Auto-removing {{current}} - no edits in 5hrs+. The event may still be current, but [[Template:Current|the {{current}} template is designed only for articles which many editors are editing, and is usually up for less than a day]].",NA
39197131,Yapperbot,72475971,1130471404,1130427342,0,2022–2023 Peruvian protests,2022-12-30T09:00:26Z,"Auto-removing {{current}} - no edits in 5hrs+. The event may still be current, but [[Template:Current|the {{current}} template is designed only for articles which many editors are editing, and is usually up for less than a day]].",NA
39197131,Yapperbot,72605626,1130454920,1130411365,0,Death and funeral of Pelé,2022-12-30T07:00:24Z,"Auto-removing {{current}} - no edits in 5hrs+. The event may still be current, but [[Template:Current|the {{current}} template is designed only for articles which many editors are editing, and is usually up for less than a day]].",NA
39197131,Yapperbot,63032,1130248677,1130200839,0,Southwest Airlines,2022-12-29T08:00:23Z,"Auto-removing {{current}} - no edits in 5hrs+. The event may still be current, but [[Template:Current|the {{current}} template is designed only for articles which many editors are editing, and is usually up for less than a day]].",NA
39197131,Yapperbot,62346754,1129847045,1129803490,0,2023 World Junior Ice Hockey Championships,2022-12-27T11:00:23Z,"Auto-removing {{current}} - no edits in 5hrs+. The event may still be current, but [[Template:Current|the {{current}} template is designed only for articles which many editors are editing, and is usually up for less than a day]].",NA
39197131,Yapperbot,377264,1129760892,1129712524,0,Pushpa Kamal Dahal,2022-12-27T01:00:23Z,"Auto-removing {{current}} - no edits in 5hrs+. The event may still be current, but [[Template:Current|the {{current}} template is designed only for articles which many editors are editing, and is usually up for less than a day]].",NA
39197131,Yapperbot,72551432,1129626256,1129582718,0,December 2022 North American winter storm,2022-12-26T11:00:24Z,"Auto-removing {{current}} - no edits in 5hrs+. The event may still be current, but [[Template:Current|the {{current}} template is designed only for articles which many editors are editing, and is usually up for less than a day]].",NA
39197131,Yapperbot,72563791,1129596711,1129558499,0,Boksburg explosion,2022-12-26T07:00:23Z,"Auto-removing {{current}} - no edits in 5hrs+. The event may still be current, but [[Template:Current|the {{current}} template is designed only for articles which many editors are editing, and is usually up for less than a day]].",NA
39197131,Yapperbot,72551432,1129434837,1129400231,0,December 2022 North American winter storm,2022-12-25T10:00:23Z,"Auto-removing {{current}} - no edits in 5hrs+. The event may still be current, but [[Template:Current|the {{current}} template is designed only for articles which many editors are editing, and is usually up for less than a day]].",NA
39197131,Yapperbot,72563791,1129398343,1129357738,0,Boksburg explosion,2022-12-25T04:00:38Z,"Auto-removing {{current}} - no edits in 5hrs+. The event may still be current, but [[Template:Current|the {{current}} template is designed only for articles which many editors are editing, and is usually up for less than a day]].",NA
39197131,Yapperbot,72555891,1129075510,1129035951,0,2022 Islamabad suicide attack,2022-12-23T13:00:25Z,"Auto-removing {{current}} - no edits in 5hrs+. The event may still be current, but [[Template:Current|the {{current}} template is designed only for articles which many editors are editing, and is usually up for less than a day]].",NA
39197131,Yapperbot,72416457,1128868250,1128829022,0,Twitter Files,2022-12-22T11:00:23Z,"Auto-removing {{current}} - no edits in 5hrs+. The event may still be current, but [[Template:Current|the {{current}} template is designed only for articles which many editors are editing, and is usually up for less than a day]].",NA
39197131,Yapperbot,38986758,1128730853,1128687987,0,HTMS Sukhothai,2022-12-21T18:00:23Z,"Auto-removing {{current}} - no edits in 5hrs+. The event may still be current, but [[Template:Current|the {{current}} template is designed only for articles which many editors are editing, and is usually up for less than a day]].",NA
39197131,Yapperbot,72416457,1128685376,1128645939,0,Twitter Files,2022-12-21T12:00:38Z,"Auto-removing {{current}} - no edits in 5hrs+. The event may still be current, but [[Template:Current|the {{current}} template is designed only for articles which many editors are editing, and is usually up for less than a day]].",NA
39197131,Yapperbot,72536511,1128678230,1128638518,0,2022 Bannu CTD centre attack,2022-12-21T11:00:38Z,"Auto-removing {{current}} - no edits in 5hrs+. The event may still be current, but [[Template:Current|the {{current}} template is designed only for articles which many editors are editing, and is usually up for less than a day]].",NA
39197131,Yapperbot,72526683,1128487664,1128447050,0,2022 Vaughan shooting,2022-12-20T11:00:23Z,"Auto-removing {{current}} - no edits in 5hrs+. The event may still be current, but [[Template:Current|the {{current}} template is designed only for articles which many editors are editing, and is usually up for less than a day]].",NA
